,ID,DESCRIZIONE ACCESSIBILITA' 1,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 1),VALORE STRINGA1 (ACCESSIBILITA' 1),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 1),VALORE NUMERO1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 1),VALORE DECIMALE1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 1),VALORE DECIMALE2 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 1),VALORE DECIMALE3 (ACCESSIBILITA' 1),DESCRIZIONE ACCESSIBILITA' 2,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 2),VALORE STRINGA1 (ACCESSIBILITA' 2),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 2),VALORE NUMERO1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 2),VALORE DECIMALE1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 2),VALORE DECIMALE2 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 2),VALORE DECIMALE3 (ACCESSIBILITA' 2),DESCRIZIONE ACCESSIBILITA' 3,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 3),VALORE STRINGA1 (ACCESSIBILITA' 3),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 3),VALORE NUMERO1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 3),VALORE DECIMALE1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 3),VALORE DECIMALE2 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 3),VALORE DECIMALE3 (ACCESSIBILITA' 3),DESCRIZIONE ACCESSIBILITA' 4,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 4),VALORE STRINGA1 (ACCESSIBILITA' 4),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 4),VALORE NUMERO1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 4),VALORE DECIMALE1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 4),VALORE DECIMALE2 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 4),VALORE DECIMALE3 (ACCESSIBILITA' 4),DESCRIZIONE ACCESSIBILITA' 5,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 5),VALORE STRINGA1 (ACCESSIBILITA' 5),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 5),VALORE NUMERO1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 5),VALORE DECIMALE1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 5),VALORE DECIMALE2 (ACCESSIBILITA' 5),DESCRIZIONE ACCESSIBILITA' 6,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 6),VALORE STRINGA1 (ACCESSIBILITA' 6),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 6),VALORE NUMERO1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 6),VALORE DECIMALE1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 6),VALORE DECIMALE2 (ACCESSIBILITA' 6),DESCRIZIONE ACCESSIBILITA' 7,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 7),VALORE STRINGA1 (ACCESSIBILITA' 7),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 7),VALORE NUMERO1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 7),VALORE DECIMALE1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 7),VALORE DECIMALE2 (ACCESSIBILITA' 7),DESCRIZIONE ACCESSIBILITA' 8,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 8),VALORE STRINGA1 (ACCESSIBILITA' 8),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 8),VALORE NUMERO1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 8),VALORE DECIMALE1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 8),VALORE DECIMALE2 (ACCESSIBILITA' 8),DESCRIZIONE ACCESSIBILITA' 9,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 9),VALORE STRINGA1 (ACCESSIBILITA' 9),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 9),VALORE NUMERO1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 9),VALORE DECIMALE1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 9),VALORE DECIMALE2 (ACCESSIBILITA' 9),DESCRIZIONE ACCESSIBILITA' 10,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 10),VALORE STRINGA1 (ACCESSIBILITA' 10),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 10),VALORE NUMERO1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 10),VALORE DECIMALE1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 10),VALORE DECIMALE2 (ACCESSIBILITA' 10),DESCRIZIONE ACCESSIBILITA' 11,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 11),VALORE STRINGA1 (ACCESSIBILITA' 11),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 11),VALORE NUMERO1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 11),VALORE DECIMALE1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 11),VALORE DECIMALE2 (ACCESSIBILITA' 11),DESCRIZIONE ACCESSIBILITA' 12,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 12),VALORE STRINGA1 (ACCESSIBILITA' 12),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 12),VALORE NUMERO1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 12),VALORE DECIMALE1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 12),VALORE DECIMALE2 (ACCESSIBILITA' 12),DESCRIZIONE ACCESSIBILITA' 13,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 13),VALORE STRINGA1 (ACCESSIBILITA' 13),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 13),VALORE NUMERO1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 13),VALORE DECIMALE1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 13),VALORE DECIMALE2 (ACCESSIBILITA' 13),DESCRIZIONE ACCESSIBILITA' 14,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 14),VALORE STRINGA1 (ACCESSIBILITA' 14),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 14),VALORE NUMERO1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 14),VALORE DECIMALE1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 14),VALORE DECIMALE2 (ACCESSIBILITA' 14),DESCRIZIONE ACCESSIBILITA' 15,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 15),VALORE STRINGA1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 15),VALORE DECIMALE1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 15),VALORE DECIMALE2 (ACCESSIBILITA' 15),DESCRIZIONE ACCESSIBILITA' 16,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 16),VALORE STRINGA1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 16),VALORE DECIMALE1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 16),VALORE DECIMALE2 (ACCESSIBILITA' 16),DESCRIZIONE ACCESSIBILITA' 17,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 17),VALORE STRINGA1 (ACCESSIBILITA' 17),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 17),VALORE DECIMALE1 (ACCESSIBILITA' 17),DESCRIZIONE ACCESSIBILITA' 18,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 18),VALORE STRINGA1 (ACCESSIBILITA' 18),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 18),VALORE DECIMALE1 (ACCESSIBILITA' 18)
449,329,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,87.0,Forza necessaria per aprirla in kg.,5.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Corso 3 Novembre,Numero posti macchina riservati,5.0,Distanza dall'ingresso in metri,10.0,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,200,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,,,Pendenza in percentuale,11.0,Lunghezza in cm.,207.0,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,100.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA GARIBALDI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1389,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,PIAZZA DANTE,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,154.0,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,134.0,,,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,90.0,,,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,80.0,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,110.0,Profondita in cm.,140.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,88.0,Distanza fra porta e controporta in cm.,0.0,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,130.0,Profondita in cm.,270.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,89.0,,,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,100.0,Altezza da terra pulsantiera interna in cm.,116.0,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,254.0,Profondità in cm.,148.0,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,9.0,Lunghezza in cm.,1320.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,Altezza maniglia da terra in cm.,100.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,
452,515,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,175.0,Profondità in cm.,169.0,Altezza wc in cm.,46.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,100.0,Forza necessaria per aprirla in kg.,0.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,,,,,,,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,89.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA TORRE VANGA,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,20.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,15.0,Lunghezza in cm.,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,386,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,,,Pendenza in percentuale,4.2,Lunghezza in cm.,234.6,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,170.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,385,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,,,Pendenza in percentuale,22.2,Lunghezza in cm.,39.5,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,82.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,108.0,Forza necessaria per aprirla in kg.,2.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via Belenzani,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,559,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,91.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,1.5,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA STOPPANI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,30.0,,,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,58,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,82.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,2.0,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,80.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA ROGGIA GRANDE,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,50.0,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,205.0,Profondità in cm.,168.0,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,14.5,Lunghezza in cm.,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,194,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,207.0,Profondità in cm.,206.0,Altezza wc in cm.,49.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,106.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,91.0,Forza necessaria per aprirla in kg.,1.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,,,,,,,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,96.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,90.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,208.0,Profondita in cm.,349.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,781,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,198,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,99.0,Profondità in cm.,144.0,Altezza wc in cm.,39.0,Percorribilita interna - gradini,Esistenza [Si/No],Si,Numero gradini,4.0,Altezza da terra in cm.,18.0,,,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,102.0,Forza necessaria per aprirla in kg.,1.0,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,63.0,,,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,78.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,221.0,Profondita in cm.,99.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA DEI MILLE,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,10.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,14.1,Lunghezza in cm.,10.7,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,78.0,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,189.0,Distanza fra porta e controporta in cm.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,201,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,275.7,Profondità in cm.,161.6,Altezza wc in cm.,44.8,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,,,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,83.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA GAZZOLETTI,Numero posti macchina riservati,5.0,Distanza dall'ingresso in metri,30.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,11.8,Lunghezza in cm.,700.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,308,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,170.0,Profondità in cm.,160.0,Altezza wc in cm.,45.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,93.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,80.0,Forza necessaria per aprirla in kg.,5.0,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,80.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via Madruzzo,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,215,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,117.0,Profondità in cm.,221.0,Altezza wc in cm.,43.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,78.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,109.0,Forza necessaria per aprirla in kg.,2.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,79.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,75.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,114.0,Profondita in cm.,201.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA MAFFEI,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,40.0,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,13.0,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
